Company Name,Sum of Funding Amt (USD millions),Homepage,domain,legalName,tags,description,foundedYear,category.subIndustry,category.industry,metrics.employees,metrics.employeesRange,metrics.estimatedAnnualRevenue,metrics.raised,linkedin.handle,twitter.handle,crunchbase.handle,logo,Location
The BrandTech Group,115,https://thebrandtechgroup.com,thebrandtechgroup.com,The Brandtech Group LLC.,"['Advertising', 'Brand Marketing', 'Content Marketing', 'Marketing', 'B2B', 'B2C']","The Brandtech Group is the world's #1 digital-only marketing group and the leading global generative AI marketing company. It was founded in June 2015 (as You & Mr Jones) by former Havas Global CEO David Jones, with the simple mission to help brands do their marketing better, faster and cheaper using technology. It was renamed The Brandtech Group in January 2022 and is the largest global digital partner for some of the world’s biggest brands. Our group companies are: Mofilm 55 Brandtech Consulting Mobkoi Gravity Road Oliver Collectively Brandtech Media DP6 Jellyfish Pencil We also make strategic investments in cutting-edge startups building tech-enabled ways for global brands to do their marketing better, faster and cheaper. Some representative examples are: Niantic Crossing Minds Automat Pixlee-TurnTo Zappar Elsy Blacktag Good-Loop Tribe Dynamics AI Foundation Traackr Jivox VidMob Engage Video Group EVRYTHNG We are headquartered in New York and have operations in Brazil, Argentina, Mexico, Canada, Panama, UK, France, Germany, Switzerland, Greece, Netherlands, Ireland, Italy, Russia, Czech Republic, Slovakia, Norway, Poland, Sweden, Turkey, South Africa, India, Hong Kong, China, Taiwan, Singapore, Japan, South Korea, Malaysia, Philippines, Australia, and Indonesia",2015,Media Agencies,Media,126,51-200,,725000000,company/the-brandtech-group,brandtechgroup,organization/you-mr-jones,http://logo.bigpicture.io/logo/thebrandtechgroup.com,"New York, United States of America"
Zephyr AI,111,https://www.zephyrai.bio,zephyrai.bio,"Zephyr AI, Inc.","['Artificial Intelligence (AI)', 'Biotechnology', 'Medical', 'B2B', 'B2C']","Zephyr AI uses large complex data and proprietary algorithms to discover new insights and opportunities for Personalized/Precision Medicine, Drug Discovery, Drug Rescue, and Clinical Decision Support. Zephyr AI partners with leading health systems, health insurance plans, and biotechnology pioneers to improve Quality, Outcomes and Costs.",2020,,Pharmaceuticals & Biotechnology,53,51-200,$10M-$50M,129500000,company/zephyrai,zephyr_ai,organization/zephyr-ai,http://logo.bigpicture.io/logo/zephyrai.bio,"Fairfax Station, Virginia, United States of America"
Arkon Energy,110,https://www.arkonenergy.com,arkonenergy.com,Arkon Energy,"['Artificial Intelligence (AI)', 'Bitcoin', 'Cloud Computing', 'Data Center', 'Energy', 'Renewable Energy', 'B2B', 'B2G']","Arkon Energy is fundamentally a data center infrastructure company. We buy, build and operate world-class, sustainably powered data centers where baseload electricity is over-supplied and physically constrained from being exported. Our business and portfolio is institutional-grade, located across stable jurisdictions with strong revenues and exceptional growth, underpinned by reliable low-cost renewable power, and a robust and growing range of end-use cases.",2020,,Software & Computer Services,31,11-50,$1M-$10M,156604405,company/arkon-energy,,organization/arkon-energy,http://logo.bigpicture.io/logo/arkonenergy.com,"Melbourne, Victoria, Australia"
Sierra,110,https://sierra.ai,sierra.ai,"Sierra Technologies, Inc.","['Artificial Intelligence (AI)', 'Enterprise Software', 'SaaS', 'B2B']","Elevate your customer experience with conversational AI tailored to your business. Designed with the highest commitment to security, compliance, and trust. ",2023,,General Retailers,126,51-200,$10M-$50M,110000000,company/sierra,sierraplatform,organization/sierra-1124,http://logo.bigpicture.io/logo/sierra.ai,"San Francisco, California, United States of America"
Atlan,105,https://atlan.com,atlan.com,Atlan Pte. Ltd.,"['Big Data', 'Data Governance', 'Information Technology', 'Software', 'B2B']","Built by a data team for data teams, Atlan is the active metadata platform for the modern data stack. It stitches together metadata from various sources (Snowflake, dbt, Databricks, Looker, Tableau, Postgres, etc.) to create a unified data discovery, cataloging, lineage, and governance experience across all your data assets, from columns and queries to metrics and dashboards. Atlan facilitates a two-way movement of metadata, bringing context back into the tools and workflows that your data team uses every day — for example, in your BI tool when you wonder what a metric on the dashboard means. A pioneer in the space, Atlan was named a Leader in Forrester Wave™️: Enterprise Data Catalogs for DataOps in 2022 and was recognized by Gartner seven times in 2021, including as a Cool Vendor in DataOps and in the inaugural Market Guide for Active Metadata Management. Today, we power pioneering data teams like WeWork, Plaid, Postman, Unilever, and Ralph Lauren. We recently raised a Series B, backed by top investors (including Insight Partners, Sequoia, and Salesforce Ventures) and founders & CEOs from the modern data stack (including Snowflake, Looker, and Stitch). For more information, visit http://www.atlan.com/ or follow us on Twitter at AtlanHQ.",2019,Software,Software & Computer Services,351,201-500,,201500000,company/atlan-hq,AtlanHQ,organization/atlan-239d,http://logo.bigpicture.io/logo/atlan.com,Singapore
Together,102.5,https://www.together.ai,together.ai,Together Computer Inc,"['Artificial Intelligence (AI)', 'Generative AI', 'Internet', 'IT Infrastructure', 'Open Source', 'B2G']","Together AI is a research-driven artificial intelligence company. We contribute leading open-source research, models, and datasets to advance the frontier of AI. Our decentralized cloud services empower developers and researchers at organizations of all sizes to train, fine-tune, and deploy generative AI models. We believe open and transparent AI systems will drive innovation and create the best outcomes for society.",2022,Software,Software & Computer Services,126,51-200,,228500000,company/togethercomputer,togethercompute,organization/together-1a7e,http://logo.bigpicture.io/logo/together.ai,"San Francisco, California, United States of America"
Recogni,102,https://www.recogni.com,recogni.com,Recogni Inc.,"['Artificial Intelligence (AI)', 'Autonomous Vehicles', 'Semiconductor', 'Software', 'B2B', 'B2G']","We are a system solution company that specializes in the design of high-performance, low-power AI inference solutions",2017,Computer Hardware,Technology Hardware & Equipment,126,51-200,$10M-$50M,176050000,company/recogni,recogni_ai,organization/recogni,http://logo.bigpicture.io/logo/recogni.com,"San Jose, California, United States of America"
Odyssey Therapeutics,101,https://odysseytx.com,odysseytx.com,"Odyssey Therapeutics, Inc.","['Biotechnology', 'Health Care', 'Oncology', 'Therapeutics', 'B2C']","At Odyssey, we are creating next generation precision medicines for patients with cancer and inflammatory diseases with class-leading speed, efficiency and rigor through our highly integrated drug hunting engine. In response to recent recruitment fraud, visit our Careers page to verify all job opportunities and read our guidance on this topic: https://odysseytx.com/careers/",2021,,Pharmaceuticals & Biotechnology,126,51-200,$10M-$50M,487000000,company/odyssey-tx,Odyssey_Tx,organization/odyssey-therapeutics-29e0,http://logo.bigpicture.io/logo/odysseytx.com,"Cambridge, Massachusetts, United States of America"
FloQast,100,https://floqast.com,floqast.com,"FloQast, Inc.","['Accounting', 'B2B', 'Enterprise Software', 'SaaS']","FloQast, a Finance and Accounting Operations Platform created by accountants for accountants, enables organizations to operationalize accounting excellence. Trusted by more than 2,600 accounting teams – including Twilio, Los Angeles Lakers, Zoom, and Snowflake – FloQast enhances the way accounting teams work, enabling customers to streamline and manage the Financial Close, Finance and Accounting Operations, and Compliance Programs. With FloQast, teams can utilize the latest advancements in AI technology to manage every aspect of the month-end Close, reduce their compliance burden, stay audit-ready, and improve accuracy, visibility, and collaboration throughout the financial function. FloQast is consistently rated #1 across all user review sites. Learn more at FloQast.com.",2013,Software,Software & Computer Services,751,501-1K,,302850000,company/floqast,FloQast,organization/floqast,http://logo.bigpicture.io/logo/floqast.com,"Los Angeles, California, United States of America"
Pryon,100,https://www.pryon.com,pryon.com,Pryon Inc.,"['Artificial Intelligence (AI)', 'Computer Vision', 'Generative AI', 'Knowledge Management', 'Machine Learning', 'Natural Language Processing', 'SaaS', 'Search Engine', 'B2B', 'B2G']","Pryon provides a trusted, safe, and proven path to implementing generative AI in enterprises. Pryon's best-in-class ingestion and retrieval engines can be paired with generative LLMs to implement retrieval-augmented generation and securely provide accurate, instant, and verifiable answers at enterprise scale. Using industry-leading retrieval technology, Pryon RAG Suite securely extracts answers from all forms of content, including audio, images, text, and video, stored in a myriad of sources. Pryon’s products are intuitive to use, accessible via API from any system, and can be deployed in a matter of weeks in the cloud or on-premises. Created by the AI pioneers instrumental in developing Alexa, Siri, and Watson, Pryon is trusted by leading enterprises and government agencies. By reducing the distance between people and answers, Pryon builds high-performing, resilient, and responsive organizations. For more information, or to request a demo, visit https://pryon.com/.",2017,Software,Software & Computer Services,126,51-200,,159127994,company/pryon,pryon,organization/pryon,http://logo.bigpicture.io/logo/pryon.com,"Raleigh, North Carolina, United States of America"
Karius,100,https://kariusdx.com,kariusdx.com,"Karius, Inc.","['B2C', 'Biotechnology', 'Genetics', 'Health Care', 'Information Technology', 'Life Science', 'Precision Medicine', 'B2B']",Karius sees a world where infectious disease is no longer a major threat to human health. The Karius Test uses genomics and AI to map a patient’s microbial landscape from a single blood sample to enable clinicians to make rapid treatment decisions.,2014,,Pharmaceuticals & Biotechnology,126,51-200,,354000000,company/kariusinc,KariusInc,organization/karius,http://logo.bigpicture.io/logo/kariusdx.com,"Redwood City, California, United States of America"
Iambic Therapeutics,100,https://www.iambic.ai,iambic.ai,"Iambic Therapeutics, Inc","['Artificial Intelligence (AI)', 'Machine Learning', 'Software', 'Therapeutics']","Iambic Therapeutics is disrupting the therapeutics landscape with its unique AI-driven drug-discovery platform. Iambic has assembled a world-class team that unites pioneering AI experts and experienced drug hunters with strong track records of success in delivering clinically validated therapeutics. The Iambic platform has been demonstrated to deliver high-quality, differentiated therapeutics to clinic with unprecedented speed and across multiple target classes and mechanisms of action. The Iambic team is advancing an internal pipeline of clinical assets to address urgent unmet patient needs. Learn more about the Iambic team, platform, and pipeline at iambic.ai.",2019,,Pharmaceuticals & Biotechnology,126,51-200,$10M-$50M,203000000,company/iambic-ai,iambic_ai,organization/entos-844f,http://logo.bigpicture.io/logo/iambic.ai,"San Diego, California, United States of America"
Writer,100,https://writer.com,writer.com,"Writer, Inc.","['Content', 'Generative AI', 'Natural Language Processing', 'Productivity Tools', 'Software', 'Virtual Assistant', 'B2B']","Writer is the full-stack generative AI platform for enterprises. We make it easy for organizations to deploy AI apps and workflows that deliver impactful ROI. Stitching together your own AI stack is difficult to scale and often fails to produce results that meet enterprise quality standards. Our integrated platform consists of Palmyra, our family of transparent LLMs that achieve top scores on key benchmarks like Stanford HELM; Writer Knowledge Graph, our highly accurate graph-based RAG; customizable AI guardrails to enforce your brand, compliance, and legal rules; a suite of easy-to-use development tools; and a library of prebuilt apps, extensions, and desktop experiences to get started quickly. Writer makes it fast and easy to build highly-customized AI apps that compress entire business processes, support complex use cases, and infuse work with company intelligence. With Writer, enterprises accelerate growth, increase productivity, and ensure AI compliance. Our enterprise-grade platform can be deployed flexibly, keeps your data private, and adheres to global privacy laws and security standards, such as GDPR, HIPAA, SOC 2 Type II, and PCI. Our professional services team provides ongoing AI program management that drives adoption and impact. Leading enterprises choose Writer, such as Vanguard, Intuit, L'Oreal, Accenture, Dropbox, and Kenvue. Visit us at writer.com.",2020,Software,Software & Computer Services,777,501-1K,,126000000,company/getwriter,Get_Writer,organization/writer,http://logo.bigpicture.io/logo/writer.com,"San Francisco, California, United States of America"
Hebbia,100,https://www.hebbia.ai,hebbia.ai,Hebbia Inc.,"['Business Intelligence', 'Machine Learning', 'Productivity Tools']","AI that works the way you work. Hebbia’s Matrix product is a co-pilot for knowledge work used by finance, law, government, and pharmaceutical companies. Matrix accurately tackles the most complex tasks by breaking them down into understandable LLM actions. Users can collaborate with Matrix to extract, structure, and analyze millions of documents at scale, allowing for full workflow automations with LLMs. We've raised $30M in funding from Peter Thiel, Index Ventures (via Mike Volpi), Jerry Yang (founder of Yahoo), Ram Shriram (one of the first investors in Google), and others, and have built the fastest-moving team in the world. We want to work with people who share our core values: - Your work is a craft you want to master. - You thrive in ambiguity and approach new challenges with optimism. - You appreciate diverse perspectives and uncommon ideas. Come build the interface to AGI.",2020,Software,Software & Computer Services,126,51-200,,131100000,company/hebbia,HebbiaAI,organization/hebbia,http://logo.bigpicture.io/logo/hebbia.ai,"New York, United States of America"
Cognigy,100,https://www.cognigy.com,cognigy.com,Cognigy GmbH,"['B2B', 'Artificial Intelligence (AI)', 'Customer Service', 'Digital Marketing', 'Machine Learning', 'Natural Language Processing', 'Sales Automation', 'Virtual Assistant']","Cognigy is revolutionizing the customer service industry by providing the most cutting-edge AI Agent platform for voice and chat in the industry. Its award-winning solution, Cognigy.AI, empowers enterprises to deliver exceptional service that is instant, personalized, in any language, and on any channel. By perfectly combining Generative and Conversational AI to create AI Agents, Cognigy is shaping the future of customer service, increasing customer satisfaction, and supporting employees in real-time. Built on the foundation of the world’s leading Conversational AI platform, Cognigy.AI offers next-gen customer service with a suite of turnkey solutions including Voice AI Agents, Digital Chat AI Agents, and Agent Copilot. Coming equipped with dozens of pretrained skills, the platform works seamlessly with existing enterprise systems and learns from your agents, giving them superpowers. Over 1000 brands worldwide trust Cognigy and its vast partner network to create AI customer service agents for their business. Cognigy's impressive worldwide customer portfolio includes Bosch, Frontier Airlines, Lufthansa Group, Mercedes-Benz, and Toyota. For more information and to see a demo visit: www.cognigy.com We are hiring: https://careers.cognigy.com/ Visit our blog: https://www.cognigy.com/blog Meet our customers: https://www.cognigy.com/customer-success-stories https://www.cognigy.com/legal-notice/",2016,Software,Software & Computer Services,126,51-200,,168964492,company/cognigy,cognigy,organization/cognigy,http://logo.bigpicture.io/logo/cognigy.com,"Düsseldorf, North Rhine-Westphalia, Germany"
1X Technologies,100,https://www.1x.tech,1x.tech,1X Technologies AS,"['Artificial Intelligence (AI)', 'Hardware', 'Manufacturing', 'Robotics', 'B2B', 'B2C']","1X is an AI robotics company producing robots capable of human-like movements and behaviors. 1X’s mission is to create an abundant supply of labor via safe, intelligent humanoids that work alongside humans. Unlike current generative AI, which remains software-centric, 1X’s robots are poised to conquer tangible tasks in the physical world and target the entire physical labor market, a sector poised to reach a multi-trillion-dollar market size. The US-Norwegian company was founded in 2014 and has its dual headquarters in San Francisco Bay and Norway.",2014,Electronic Equipment,Electronic & Electrical Equipment,209,201-500,$50M-$100M,136488234,company/1x-technologies,1x_tech,organization/halodi-robotics,http://logo.bigpicture.io/logo/1x.tech,"Moss, Viken, Norway"
PhotoRoom,93,https://www.photoroom.com,photoroom.com,Photoroom Inc,"['B2C', 'Artificial Intelligence (AI)', 'Machine Learning', 'Mobile Apps', 'Photo Editing', 'Photography']","Photoroom is the world's #1 AI Photo Editor. Our mission: to put the power of great images into more people's hands. Photoroom elevates businesses through amazing photography. We use AI to make photo-editing feel easy and delightful, and the end results look pro. Since launching in 2019, PhotoRoom has been downloaded over 150 million times worldwide with a 4.7-star rating from 1+ million reviews. Photoroom was also named Editor's Choice by both Google and Apple for 2023.",2019,Internet,Software & Computer Services,323,201-500,,62125000,company/photoroom,photoroom_app,organization/photoroom,http://logo.bigpicture.io/logo/photoroom.com,"Paris, Île-de-France, France"
Fetcherr,90,https://www.fetcherr.io,fetcherr.io,Fetcherr LTD,"['Air Transportation', 'Artificial Intelligence (AI)', 'Information Technology', 'Machine Learning', 'Travel']","Fetcherr is an algo-based company that revolutionizes the travel industry with its groundbreaking Generative Pricing Engine (GPE), the first of its kind to leverage AI for real-time, market-responsive pricing decisions. Our GPE augments airlines' existing pricing strategies with ultra-granular, high-frequency adjustments, fully automating workflows from pricing determination to fare publishing. Operating non-stop, the GPE identifies untapped revenue opportunities and efficiently distributes updated fares across all channels. Partnerships with Virgin Atlantic, Azul, ATPCO, and INFARE attest to our system's unparalleled capability to enhance revenue while streamlining operations.",2019,Software,Software & Computer Services,126,51-200,,114501000,company/fetcherr-ltd,,organization/fetcherr,http://logo.bigpicture.io/logo/fetcherr.io,"Netanya, Central District, Israel"
Sentient,85,https://sentient.io,sentient.io,Sentient.io Pte Ltd,"['Artificial Intelligence (AI)', 'Big Data', 'Blockchain', 'Consulting', 'Developer Platform', 'Google', 'Information Technology', 'Professional Services', 'Software', 'B2B']","Sentient.io helps software developers who have little or no AI skills create AI-enabled applications or AI-driven services by embedding AI capabilities into their applications via REST API calls. Our core product, the Sentient AI and Data Platform, makes all these happen like magic!",2017,Software,Software & Computer Services,31,11-50,$1M-$10M,5156449,company/sentientio,,organization/sentient-io-pte-ltd,http://logo.bigpicture.io/logo/sentient.io,Singapore
Foretellix,85,https://www.foretellix.com,foretellix.com,Foretellix Ltd,"['Automotive', 'Autonomous Vehicles', 'Software', 'B2B']","Foretellix provides a revolutionary product development testing, verification, and validation platform enabling the mass deployment of autonomous driving systems. Foretellix uses proven approaches from the semiconductor chip industry that utilize hyper-automation, big data analytics, and AI. The platform orchestrates and manages the massive scale of testing required to ensure safety, reduce development costs, and shorten the time-to-market of ADS deployment.",2018,Software,Software & Computer Services,126,51-200,$10M-$50M,132500000,company/foretellix,ForetellixHQ,organization/foretellix,http://logo.bigpicture.io/logo/foretellix.com,"Ramat Gan, Tel Aviv, Israel"
Pixis,85,https://pixis.ai,pixis.ai,"Aiquire, Inc","['Artificial Intelligence (AI)', 'Brand Marketing', 'Cloud Computing', 'Digital Marketing', 'Machine Learning', 'B2B']",Pixis is a global tech company that develops accessible codeless AI technology to help brands scale all aspects of their marketing and augment their decision-making in a world of infinitely complex consumer behavior. The company’s codeless AI infrastructure currently comprises 200+ proprietary AI models that provide marketers with robust plug-and-play AI products without having to write a single line of code.,2018,Software,Software & Computer Services,504,501-1K,,209000000,company/pixisai,Pixis_AI,organization/pixis-ai,http://logo.bigpicture.io/logo/pixis.ai,"Chicago, Illinois, United States of America"
ElevenLabs,80,https://elevenlabs.io,elevenlabs.io,ElevenLabs Inc.,"['Artificial Intelligence (AI)', 'Audio', 'Content Creators', 'Developer APIs', 'Publishing', 'B2C', 'B2B']","ElevenLabs is an AI Audio research and deployment company. Our research team develops AI Audio models that generate realistic, versatile and contextually-aware speech and sound effects. Our product team makes these models accessible for everyday users, prosumers, and businesses to create & localize content. Our technology is used to voice audiobooks and news articles, animate video game characters, help in film pre-production, automate localization processes in entertainment, create dynamic audio content for social media and advertising, and train medical professionals. It has also given back voices to those who have lost them and helped individuals with accessibility needs in their daily lives. For more information, visit www.elevenlabs.io",2022,Business Support Services,Support Services,126,51-200,,101000000,company/elevenlabsio,elevenlabsio,organization/elevenlabs,http://logo.bigpicture.io/logo/elevenlabs.io,"New York, United States of America"
DeepX,80,https://deepx.ai,deepx.ai,DEEPX Co. Ltd.,"['Artificial Intelligence (AI)', 'Information Technology', 'Internet of Things']","DEEPX is a global leader in on-device AI, specializing in the development of AI semiconductors that bring intelligence to every electronic device. Our cutting-edge AI chip product line is set to revolutionize industries like robotics, smart cities, surveillance, and more by optimizing performance, reducing power consumption, and enhancing cost efficiency for on-device AI operations. Collaborating with industry leaders like Hyundai Kia Motors Robotics Lab, POSCO DX, and Jahwa Electronics, we are driving mass production development and expanding partnerships with over 70 global companies in various sectors. Through innovation, strategic collaborations, and a global perspective, DEEPX is committed to setting the industry standard for on-device AI worldwide. Join us in shaping the future of AI technology! Apply our Early Engagement Customer Program now and be part of our exciting vision! EECP Page: https://deepx.ai/early-engagement-customer-program/",2018,Semiconductors,Technology Hardware & Equipment,126,51-200,$1B-$10B,104269242,company/deepx-corp,,organization/deepx-c937,http://logo.bigpicture.io/logo/deepx.ai,"Seongnam-Si, Gyeonggi-Do, South Korea"
Pika,80,https://pika.art,pika.art,"Mellis, Inc.","['Artificial Intelligence (AI)', 'Generative AI', 'Graphic Design', 'Video', 'B2C']",An idea-to-video platform that brings your creativity to motion.,2023,Internet,Software & Computer Services,32,11-50,$0-$1M,135000000,company/pika-labs,pika_labs,organization/pika-2a05,http://logo.bigpicture.io/logo/pika.art,"Palo Alto, California, United States of America"
Elucid,80,https://elucid.com,elucid.com,Elucid Bioimaging Inc.,"['Analytics', 'Biotechnology', 'Medical Device', 'Precision Medicine']","Elucid is a Boston-based medical technology company using histology-validated software to provide physicians with a cost-effective means to optimize treatment decisions for patients with cardiovascular disease. Advanced clinical insight from Elucid's CTA analysis equips physicians with critical information designed to enable precision medicine. Elucid is the first non-invasive software to quantify atherosclerotic plaque characteristics compared to histopathology, including Lipid Rich Necrotic Core. The company has published studies for its derivation of fractional flow reserve (FFRct) based on the vasodilative capacity of the vessel wall. Elucid's unique information informs improved treatment decisions by physicians leading to better patient outcomes, improved quality of care, and reduced healthcare costs.",2013,Medical Equipment,Health Care Equipment & Services,126,51-200,$10M-$50M,129728339,company/elucid-bioimaging-inc-,elucidbio,organization/elucid-bioimaging,http://logo.bigpicture.io/logo/elucid.com,"Boston, Massachusetts, United States of America"
Harvey.ai,80,https://www.harvey.ai,harvey.ai,Counsel AI Corp.,"['Artificial Intelligence (AI)', 'Legal', 'B2C']",Harvey is a generative AI company backed by Sequoia and OpenAI's startup fund building the future of professional services.,2022,Software,Software & Computer Services,126,51-200,,106000000,company/harvey-ai,,organization/harvey-128b,http://logo.bigpicture.io/logo/harvey.ai,"San Francisco, California, United States of America"
Ideogram,80,https://ideogram.ai,ideogram.ai,"Ideogram AI, Inc.",,Ideogram AI specializes in AI-powered image generation and manipulation technologies.,2023,Image Generation,Artificial Intelligence,50,1-10,,,company/ideogram-ai,,organization/ideogram-ai,,"San Francisco, California, United States"
Frore Systems,80,https://www.froresystems.com,froresystems.com,Frore Systems Inc,"['Consumer Electronics', 'Manufacturing', 'Mechanical Engineering', 'B2G', 'B2C']","Frore Systems is the developer of breakthrough thermal technology for consumer devices. The company’s active cooling chip, AirJet® Mini is integrated into devices to remove heat silently, delivering 2X improvement in device processor performance. AirJet’s compact size and unique capability enables faster, quieter, thinner, lighter and dust-proof devices. Frore Systems is headquartered in San Jose, CA with offices in Taiwan and South Korea. Follow us to stay up to date with the latest news!",2018,Computer Hardware,Technology Hardware & Equipment,126,51-200,$10M-$50M,180000000,company/froresystems,,organization/frore-systems,http://logo.bigpicture.io/logo/froresystems.com,"San Jose, California, United States of America"
Foundry,80,https://www.foundry.ai,foundry.ai,Foundry.ai,"['Analytics', 'Artificial Intelligence (AI)', 'Information Services', 'Information Technology', 'Internet', 'Software', 'B2B']","Foundry is a technology studio that develops practical, profitable artificial intelligence SaaS products in collaboration with the Global 2000. We work closely with executives to identify business units and processes that can be improved through the use of AI. If we jointly see an opportunity that also has broader market value, we deploy a combination of existing building blocks and custom work to develop a licensable solution. For us and our Launch Partners, this is a win-win — customers solve key problems that impact their bottom line (and gain a percentage of later revenues), while Foundry takes the solution to market as a licensable SaaS product. As a result, Foundry is now the parent company to several successful solutions which have spun out as wholly-owned subsidiaries that license SaaS products in healthcare, telecommunications, consumer goods, and more.",2015,Software,Software & Computer Services,31,11-50,$1M-$10M,,company/foundryai,,organization/foundry-ai,http://logo.bigpicture.io/logo/foundry.ai,"Washington, District of Columbia, United States of America"
Frontier Medicines,80,https://www.frontiermeds.com,frontiermeds.com,Frontier Medicines Corporation,"['Biopharma', 'Biotechnology', 'Life Science', 'Pharmaceutical', 'Precision Medicine']","Frontier Medicines, located in South San Francisco, CA and Boston, MA, is a precision medicine company that has pioneered a powerful discovery and development platform designed to generate medicines against disease-causing proteins previously considered undruggable. We are deploying our technologies in chemoproteomics, covalent drug discovery, and machine learning to develop a pipeline of groundbreaking medicines against the most important drivers of disease. Our lead program targets both the activated and inactive forms of KRAS G12C, a validated driver in a number of cancers that until recently has been undruggable. Our pipeline embodies our vision of bolding advancing science to defeat disease, starting with cancer.",2018,,Pharmaceuticals & Biotechnology,126,51-200,,344000000,company/frontier-medicines,FrontierMeds,organization/frontier-medicines,http://logo.bigpicture.io/logo/frontiermeds.com,"South San Francisco, California, United States of America"
RapidSOS,75,https://rapidsos.com,rapidsos.com,"RapidSOS, Inc.","['Artificial Intelligence (AI)', 'Mobile Apps', 'Public Safety']","RapidSOS is an intelligent safety platform that securely links life-saving data from 500M+ connected devices, apps, and sensors from 90+ global technology companies to over 1M+ first responders across 15K agencies nationwide. Whether there’s an unsafe moment or an emergency, RapidSOS Ready devices, homes, or buildings deliver essential data to the right place, when it matters most. To learn more about our technology that’s protecting lives, visit www.rapidsos.com",2012,Government,Government,351,201-500,$10M-$50M,355730006,company/rapidsos,RapidSOS,organization/rapidsos,http://logo.bigpicture.io/logo/rapidsos.com,"New York, United States of America"
Quora,75,https://www.quora.com,quora.com,"Quora, Inc.","['Copywriting', 'Information Services', 'Internet', 'Product Design', 'Q&A', 'B2C']","The vast majority of human knowledge is still not on the internet. Most of it is trapped in the form of experience in people’s heads, or buried in books and papers that only experts can access. Our mission is to share and grow the world's knowledge, and we're building a world-class team to help us achieve this mission. To do so, we have two knowledge sharing products: Quora: a global knowledge sharing platform with over 400M monthly unique visitors, bringing people together to share insights on various topics and providing a unique platform to learn and connect with others. Poe: a platform providing millions of global users with one place to chat, explore and build with a wide variety of AI language models (bots), including GPT-4, Claude 3, Gemini Pro, DALL-E 3 and more. As AI capabilities rapidly advance, Poe provides a single platform to instantly integrate and utilize these new models. Visit quora.com/careers to browse open roles and apply online. Quora company blog: blog.quora.com Engineering blog: engineering.quora.com Design blog: design.quora.com Data blog: data.quora.com Recruiting blog: interviewingatquora.quora.com/ Intern blog: quorainterns.quora.com",2009,Internet,Software & Computer Services,1299,1K-5K,,301000000,company/quora,Quora,organization/quora,http://logo.bigpicture.io/logo/quora.com,"Mountain View, California, United States of America"
Upstage,72,https://www.upstage.ai,upstage.ai,"Upstage Co., Ltd.","['Artificial Intelligence (AI)', 'Machine Learning', 'Natural Language Processing', 'Predictive Analytics', 'Software', 'B2B']","Upstage boosts work efficiency with industry-leading document processing engines and large-language models (LLMs). Our flagship large language model Solar defines the benchmark for cost-effective and powerful AI solutions for enterprises. Additionally, our Document AI boasts a proven track record in automating documents through advanced AI OCR technology.",2020,Software,Software & Computer Services,126,51-200,,125740598,company/upstageai,upstageai,organization/upstage-ai,http://logo.bigpicture.io/logo/upstage.ai,"San Jose, California, United States of America"
Vilya,71,https://vilyatx.com,vilyatx.com,"Vilya, Inc.","['Biotechnology', 'Health Diagnostics', 'Life Science', 'Medical', 'B2C', 'B2B']","Vilya is a cutting-edge computational biotechnology company, co-founded a team of scientists from from the Institute of Protein Design (IPD) led by David Baker, Ph.D. and by ARCH Venture Partners. At Vilya, we are creating a novel class of medicines to precisely target disease biology. Our platform is built on ground-breaking research in advanced computational approaches and taps into uncharted chemical space within cyclic peptides to design new molecular structures not found in nature. We aim to boldly leverage cutting edge computing to change how we design new medicines, and to ultimately cure diseases. Who will love working with us? We are a group of machine learning scientists, computational chemists, medicinal chemists, biologists and scientific enthusiasts that are driven to design and create life-altering medicines that will make a big impact on the world. Learn more about our job openings and join us! join@vilyatx.com",2022,,Pharmaceuticals & Biotechnology,31,11-50,$1M-$10M,71000000,company/vilyatx,,organization/vilya,http://logo.bigpicture.io/logo/vilyatx.com,"Seattle, Washington, United States of America"
SiMa.ai,70,https://sima.ai,sima.ai,"SiMa Technologies, Inc.","['Artificial Intelligence (AI)', 'Embedded Systems', 'Machine Learning', 'Semiconductor', 'Software']","SiMa.ai™ is a machine learning company delivering the industry’s first software-centric purpose-built MLSoC™ platform. With push-button performance, we enable effortless ML deployment and scaling at the embedded edge by allowing customers to address any computer vision problem while achieving 10x better performance at the lowest power. Initially focused on computer vision applications, SiMa.ai is led by technologists and business veterans backed by a set of top investors committed to helping customers bring ML on their platforms. For more information, visit www.SiMa.ai.",2018,Software,Software & Computer Services,126,51-200,$10M-$50M,330000000,company/sima-ai,SiMa_Inc,organization/sima-ai,http://logo.bigpicture.io/logo/sima.ai,"San Jose, California, United States of America"
Axelera,68,https://www.axelera.ai,axelera.ai,Axelera AI B.V.,"['Artificial Intelligence (AI)', 'Machine Learning', 'Semiconductor', 'Software', 'B2B']","Axelera AI delivers an AI-native game-changing hardware and software platform to accelerate artificial intelligence. Headquartered in the AI Innovation Center of the High Tech Campus in Eindhoven, Axelera AI has R&D offices in Belgium, Switzerland, UK and Italy and operations in 15 European countries . Its team of experts in AI software and hardware hail from top AI firms and Fortune 500 companies.",2021,Semiconductors,Technology Hardware & Equipment,126,51-200,$10M-$50M,136700000,company/axelera-ai,AxeleraAI,organization/axelera-ai,http://logo.bigpicture.io/logo/axelera.ai,"Ae, Netherlands"
