Company Name,Sum of Funding Amt (USD millions),Homepage,domain,legalName,tags,description,foundedYear,category.subIndustry,category.industry,metrics.employees,metrics.employeesRange,metrics.estimatedAnnualRevenue,metrics.raised,linkedin.handle,twitter.handle,crunchbase.handle,logo,Location,Key AI features,Notable use cases
Celestial AI,175,https://www.celestial.ai,celestial.ai,Celestial AI Inc.,"['Artificial Intelligence (AI)', 'Data Center', 'Machine Learning', 'Semiconductor', 'Software', 'B2B']","Celestial AI is the creator of the Photonic Fabric™ technology platform. For additional information, please visit https://www.celestial.ai.",2020,Semiconductors,Technology Hardware & Equipment,126,51-200,$10M-$50M,338874997,company/celestial-ai,celestialaiinc,organization/inorganic-intelligence,http://logo.bigpicture.io/logo/celestial.ai,"Santa Clara, California, United States of America",Photonic Fabric™ technology for optical interconnects; Redefining optical interconnects for AI computing and memory; Eliminating the 'Memory Wall' with high bandwidth; Achieving nanosecond-level latencies for AI training and inferencing; Reducing power consumption for AI workloads,Adoption of Photonic Fabric technology by hyperscaler customers; Improving chip-to-chip and chip-to-memory interconnect; Facilitating high bandwidth and low latency for advanced AI models; Enhancing AI infrastructure performance and scalability; Supporting sustainable computing capabilities for extensive AI workloads
Urbanic,150,https://www.urbanic.com,urbanic.com,Urbanic London Ltd,"['B2C', 'E-Commerce', 'Fashion', 'Mobile Apps']","Urbanic is a global fashion company headquartered in London, committed to balancing creativity and sustainability through the use of advanced technology. Since our inception, we have been committed to empowering consumers with top-notch fashion that blends innovation and social responsibility. We are recognized as one of the most rapidly expanding fashion retailers in key emerging markets. We invite you to be part of our journey to reshape the fashion landscape by fostering creativity, embracing technology, and promoting sustainability. Urbanic - We are because you are.",2019,Apparel Retailers,General Retailers,751,501-1K,$50M-$100M,150000000,company/urbanic-global,Urbanicofficial,organization/urbanic,http://logo.bigpicture.io/logo/urbanic.com,"London, England, United Kingdom",Personalized recommendations; Visual search technology; AI-driven inventory management; Chatbot for customer service,Customer personalization based on browsing history and preferences; Allowing customers to search for clothing using uploaded images; Optimizing stock levels based on predicted demand using AI; Providing instant responses to customer inquiries through AI chatbots
Shield AI,150,https://shield.ai,shield.ai,"Shield AI, Inc.","['Artificial Intelligence (AI)', 'Autonomous Vehicles', 'Drones', 'Machine Learning', 'National Security', 'B2C']","Founded in 2015, Shield AI is a venture-backed defense technology company whose mission is to protect service members and civilians with intelligent systems. In pursuit of this mission, Shield AI is building the world’s best AI pilot. Its AI pilot, Hivemind, has flown a fighter jet (F-16), a vertical takeoff and landing drone (V-BAT), and a quadcopter (Nova). Shield AI’s products and people are currently in the field actively supporting operations with the U.S. Department of Defense and U.S. allies. Backed by top-tier Silicon Valley VC funds, Shield AI has established itself as the leader in AI for aviation. Shield AI has been named to Forbes’ AI 50 and Best Startups lists, CB Insights Top 100 AI Companies, and Fast Company’s Most Innovative Companies. The company has offices and facilities in San Diego, Dallas, Washington, D.C. and Abu Dhabi. We're hiring: https://shield.ai/careers-overview/",2015,Software,Software & Computer Services,751,501-1K,,1073144999,company/shield-ai,shieldaitech,organization/shield-ai,http://logo.bigpicture.io/logo/shield.ai,"San Diego, California, United States of America","Fully autonomous AI pilot (Hivemind); Capabilities to operate without GPS, communications, or pilot; Real-time battlefield reading and reaction; Learning and executing complex missions autonomously; Integration with various aircraft types (e.g., drones, jets)",Autonomous operation of swarms of drones and aircraft in combat situations; Indoor building clearance operations with quadcopters; Integrated air defense missions with fixed-wing drones; F-16 dogfighting maneuvers; Commercial autonomous cargo transportation in civil logistics; Oil and gas inspection missions with drones
Kore.ai,150,https://kore.ai,kore.ai,"Kore.ai, Inc.","['Artificial Intelligence (AI)', 'Chatbot', 'Collaboration', 'Enterprise Software', 'Generative AI', 'Machine Learning', 'Natural Language Processing', 'B2B']","At Kore.ai, we're rewriting the rules of AI to reshape how we experience the world. Our journey began in the early 2010s when Raj, our visionary CEO, saw a transformative opportunity in the rise of messaging apps and enterprise platforms. With a passion for automating and enhancing human-machine interactions, Raj and his team set out to create the world's leading conversational AI technology platform. Over time, Kore.ai became the trusted partner of over 400 global enterprises, delivering exceptional automation and customer engagement. We're proud to have earned accolades from technology analysts and built a network of 200 global partners. Kore.ai has been the market leader in conversational and generative AI for five consecutive years. But success was never an endpoint for us. We believe the potential is vast, especially with GenAI and Conversational AI converging. So we asked ourselves, ""Are we done yet?"" The answer: ""Not by a long shot."" With nearly a decade of experience, we're on a new journey to unlock the power of GenAI and Conversational AI together to define the future of experience. Today, Kore.ai stands as a trusted partner and technology provider for Global 2000 enterprises, with 10+ global offices. We assist companies in harnessing the potential of conversational and generative AI-driven assistants, all while upholding our core values of innovation, customer centricity, diversity, and fun within our global teams. Join us on our journey to shape the future of technology under the leadership of our CEO, Raj. Together, we can redefine the way the world experiences AI. Discover the extraordinary at Kore.ai.",2013,Software,Software & Computer Services,1055,1K-5K,,223500000,company/kore-inc,koredotai,organization/kore-ai,http://logo.bigpicture.io/logo/kore.ai,"Orlando, Florida, United States of America",Generative AI applications; RAG/LLM-based search; No-code tools; Automated workflows; Conversational AI; Retrieval Augmented Generation (RAG); Pre-trained Large Language Models (LLMs); Intelligent Virtual Assistants (IVAs),Claims Processing; Customer Order Processing; Inventory Management; Invoice Generation; Receivables/Payables Workflow; Supply Chain Optimization; Marketing Content Creation; Personalized Campaigns; Sales Communications; Document Summarization; Social Media Analysis; Market Intelligence; Automated Customer Inquiries; Employee Virtual Assistants; Knowledge Management in HR and IT; Multilingual Support for Applications; Data Extraction and Insight Generation
EvolutionaryScale,142,https://www.evolutionaryscale.ai,evolutionaryscale.ai,EvolutionaryScale,"['Bioinformatics', 'Biotechnology', 'Health Care', 'B2B']",Company behind ESM3,2023,Business Support Services,Support Services,31,11-50,$0-$1M,142000000,company/evolutionaryscale,,organization/evolutionaryscale,http://logo.bigpicture.io/logo/evolutionaryscale.ai,"New York, United States of America","New type of language model for biological data; Generates novel protein designs; Emergent reasoning capabilities over sequence, structure, and function",Designing novel proteins such as esmGFP; Imagining proteins for carbon capture; Imagining enzymes for plastic breakdown; Imagining new medicines
WEKA,140,https://www.weka.io,weka.io,"WekaIO, Inc.","['Artificial Intelligence (AI)', 'Cloud Storage', 'Data Center', 'Data Management', 'Software', 'Web Hosting']","WEKA helps data-driven organizations seamlessly and sustainably store, process, and manage data virtually anywhere with cloud simplicity and on-prem performance. Our software-defined, cloud-native data platform turns stagnant data silos into streaming data pipelines that fuel next-generation workloads like AI and HPC.",2013,Software,Software & Computer Services,351,201-500,,415100000,company/weka-io,WekaIO,organization/weka-io,http://logo.bigpicture.io/logo/weka.io,"Campbell, California, United States of America",Production-ready enterprise AI solutions; Eliminate data staging and storage silos; Accelerated data pipelines; High-performance data analytics; GPU acceleration for AI workloads; Generative AI support,Supporting large-scale data analysis for life sciences; Enabling fast-paced analytics for financial services; Accelerating workflows in media and entertainment; Facilitating AI research in federally funded projects; Powering driverless AI applications for autonomous vehicles
Enfabrica,125,https://enfabrica.net,enfabrica.net,Enfabrica Corp,"['Artificial Intelligence (AI)', 'Information Technology', 'Software', 'B2B', 'B2G']",We develop the foundational fabric devices and technologies for the age of AI and accelerated computing at scale.,2019,Software,Software & Computer Services,126,51-200,$10M-$50M,125000000,company/acebinfra1,,organization/enfabrica,http://logo.bigpicture.io/logo/enfabrica.net,"Mountain View, California, United States of America",Multi-GPU SuperNIC Chip with 8x elastic bandwidth; Patented Accelerated Compute Fabric (ACF) architecture; Support for PCIe Gen5 and CXL 2.0+ interfaces; Collective 8X NIC for collective GPUs; Efficient traffic distribution across GPUs; Reduction of GPU data movement latencies by up to 66%; Congestion-free network-to-GPU traffic; Flexible deployment options within AI clusters; Accelerated compute solutions for AI workloads,Networking for AI clusters; Boosting operational efficiency in AI deployments; Enhancing GPU utilization in data centers; Scaling AI workloads without altering software configurations; Facilitating rapid piloting and deployment of AI compute infrastructure
Etched,120,https://www.etched.com,etched.com,"Etched.ai, Inc.","['Computer', 'Hardware']","By burning the transformer architecture into our chips, we’re creating the world’s most powerful servers for transformer inference.",2022,Computer Hardware,Technology Hardware & Equipment,31,11-50,$1M-$10M,125360000,company/etched-ai,,organization/etched-ai,http://logo.bigpicture.io/logo/etched.com,"San Francisco, California, United States of America",Run AI models faster than GPUs; Transformers etched into silicon architecture; Real-time voice agents; Multicast speculative decoding; Open-source software stack; Expansible to 100 trillion parameters; Beam search and MCTS decoding; MoE and transformer variants,Ingesting thousands of words in milliseconds for voice agents; Improving coding efficiency with parallel tree search; Generating new content in real-time through speculative decoding
Hailo,120,https://hailo.ai,hailo.ai,Hailo Technologies Ltd,"['B2G', 'Artificial Intelligence (AI)', 'Augmented Reality', 'Embedded Systems', 'Machine Learning', 'Semiconductor', 'B2B']","Hailo’s mission is to enable smart edge technologies to reach their full potential. Our solutions bridge the gap between existing and future AI technologies, providing the compute capacity needed to power these applications. Our industry-leading edge AI processors feature high compute power at a high power efficiency and cost efficiency. One small, low-power and self-contained chip can process high-resolution videos in real-time or multiple video streams and neural network models simultaneously, all within a small power budget and rigid heat dissipation constraints. Our product portfolio includes AI accelerators and AI vision processors . We offer a range of standard form-factor modules and an on-PCB design track, as well as a robust and mature software toolchain. Based in Tel-Aviv with offices in the US, Germany, Greater China, Japan, Korea, and Taiwan, we are growing and expanding our worldwide partner ecosystem. Our novel, patented dataflow architecture is already implemented in 100s of customer programs across industries, including Automotive, Security, Smart City, Industry 4.0, Smart Retail, and more. Email us at contact@hailo.ai",2017,Semiconductors,Technology Hardware & Equipment,351,201-500,,343931287,company/hailo-ai,Hailo_ai,organization/hailo-technologies,http://logo.bigpicture.io/logo/hailo.ai,"Tel Aviv, Israel",Generative AI Accelerators; AI Vision Processors; AI Accelerators; Deep Learning Applications; High Performance AI Processing; Advanced Computer Vision Engines; Model Explorer; Hailo OS; Dataflow Compiler; Real-time AI Inference,Autonomous Driving; Smart Cockpit/IVI Generative AI; Intelligent Transportation Systems; Automatic Optical Inspection in Industrial Automation; Smart Retail Solutions; Video Analytics for Security; Human and Vehicle Access Control; Generative AI for Personal Compute; Enhancing ADAS performance; Smart Parking Solutions
Vast Data,118,https://www.vastdata.com,vastdata.com,"VAST Data, Inc.","['Artificial Intelligence (AI)', 'Database', 'Software', 'B2G']","Meet the data platform company for the AI era. Accelerating time-to-insight for workload-intensive applications, the VAST Data Platform delivers scalable performance, radically simple data management and enhanced productivity for the AI-powered world. Launched in 2019, VAST is the fastest-selling data infrastructure startup in history.",2016,Software,Software & Computer Services,751,501-1K,,381000000,company/vast-data,VAST_Data,organization/vast-data,http://logo.bigpicture.io/logo/vastdata.com,"New York, United States of America","AI Infrastructure; Support for structured and unstructured data; Data capture and enrichment at exabyte scale; Modern platform for data analytics and AI use cases; Disaggregated, Shared-Everything (DASE) architecture",Machine learning acceleration; VFX and rendering optimization; Pixel Streaming; Batch processing; Using rendered assets as training data for AI applications; Mapping neural circuits through massive data collection
Magic AI,117,https://magicai.ai,magicai.ai,"Magic AI, Inc.",[],Your new AI team mate who knows everything about your projects and your company.,2022,,,50,,,145000000,company/magical-ai,,organization/magical-ai,http://logo.bigpicture.io/logo/magicai.ai,"Seattle, Washington, United States of America",Chat bot creation with own data and branding; Natural language processing for document queries; Data aggregation from various document formats; Personal assistant capabilities to interact with uploaded documents; Integration support for popular platforms; No-code platform for ease of use; Multi-language support for chat bots; Document scraping from websites,Creating a customized chat bot for customer support on websites; Training chat bots using company documents for internal knowledge sharing; Using chat bots as personal assistants to answer specific organizational queries; Aggregating research data to streamline information retrieval; Facilitating collaborative training of chat bots among team members
The BrandTech Group,115,https://thebrandtechgroup.com,thebrandtechgroup.com,The Brandtech Group LLC.,"['Advertising', 'Brand Marketing', 'Content Marketing', 'Marketing', 'B2B', 'B2C']","The Brandtech Group is the world's #1 digital-only marketing group and the leading global generative AI marketing company. It was founded in June 2015 (as You & Mr Jones) by former Havas Global CEO David Jones, with the simple mission to help brands do their marketing better, faster and cheaper using technology. It was renamed The Brandtech Group in January 2022 and is the largest global digital partner for some of the world’s biggest brands. Our group companies are: Mofilm 55 Brandtech Consulting Mobkoi Gravity Road Oliver Collectively Brandtech Media DP6 Jellyfish Pencil We also make strategic investments in cutting-edge startups building tech-enabled ways for global brands to do their marketing better, faster and cheaper. Some representative examples are: Niantic Crossing Minds Automat Pixlee-TurnTo Zappar Elsy Blacktag Good-Loop Tribe Dynamics AI Foundation Traackr Jivox VidMob Engage Video Group EVRYTHNG We are headquartered in New York and have operations in Brazil, Argentina, Mexico, Canada, Panama, UK, France, Germany, Switzerland, Greece, Netherlands, Ireland, Italy, Russia, Czech Republic, Slovakia, Norway, Poland, Sweden, Turkey, South Africa, India, Hong Kong, China, Taiwan, Singapore, Japan, South Korea, Malaysia, Philippines, Australia, and Indonesia",2015,Media Agencies,Media,126,51-200,,725000000,company/the-brandtech-group,brandtechgroup,organization/you-mr-jones,http://logo.bigpicture.io/logo/thebrandtechgroup.com,"New York, United States of America",Generative AI for creating advertisements; AI-driven e-commerce technology; Advanced data analytics for marketing optimization; AI for performance prediction in advertising; Generative AI integration in digital marketing; Machine learning for data-driven media planning; AI-powered influencer relationship management; Personalized AI for behavior-based recommendations; Dynamic creative optimization through AI; AI for social media content creation,"Creating over 1 million ads across 5,000 brands using Pencil; Implementing generative AI in in-house studios for marketing; Dynamically serving personalized ad variations through Jivox; Using AI for optimizing advertising content frame by frame with VidMob; Leveraging AI for e-commerce analytics and growth with Acorn-i; Utilizing AI for influencer marketing analytics with Traackr; Employing machine learning for media planning in Elsy; Integrating AI to enhance brand content creation through Gravity Road; Developing personalized messaging experiences with Automat; Utilizing AI to track brand perception through Jellyfish's Share-of-Model"
Zephyr AI,111,https://www.zephyrai.bio,zephyrai.bio,"Zephyr AI, Inc.","['Artificial Intelligence (AI)', 'Biotechnology', 'Medical', 'B2B', 'B2C']","Zephyr AI uses large complex data and proprietary algorithms to discover new insights and opportunities for Personalized/Precision Medicine, Drug Discovery, Drug Rescue, and Clinical Decision Support. Zephyr AI partners with leading health systems, health insurance plans, and biotechnology pioneers to improve Quality, Outcomes and Costs.",2020,,Pharmaceuticals & Biotechnology,53,51-200,$10M-$50M,129500000,company/zephyrai,zephyr_ai,organization/zephyr-ai,http://logo.bigpicture.io/logo/zephyrai.bio,"Fairfax Station, Virginia, United States of America",Identify patients most likely to benefit from treatments; AI-enabled biomarkers for precision medicine; Optimize patient selection and trial design; Deepen understanding of disease mechanisms; Integrate with existing NGS data workflows; Identify key molecular pathways for drug combinations,Enhancing patient outcomes; Broadening targeted therapies for precision medicine; Reducing costs and trial durations; Creating groundbreaking therapies based on disease mechanisms; Delivering actionable insights for patient stratification; Tailoring drug combination designs for treatment success
Arkon Energy,110,https://www.arkonenergy.com,arkonenergy.com,Arkon Energy,"['Artificial Intelligence (AI)', 'Bitcoin', 'Cloud Computing', 'Data Center', 'Energy', 'Renewable Energy', 'B2B', 'B2G']","Arkon Energy is fundamentally a data center infrastructure company. We buy, build and operate world-class, sustainably powered data centers where baseload electricity is over-supplied and physically constrained from being exported. Our business and portfolio is institutional-grade, located across stable jurisdictions with strong revenues and exceptional growth, underpinned by reliable low-cost renewable power, and a robust and growing range of end-use cases.",2020,,Software & Computer Services,31,11-50,$1M-$10M,156604405,company/arkon-energy,,organization/arkon-energy,http://logo.bigpicture.io/logo/arkonenergy.com,"Melbourne, Victoria, Australia",,
Sierra,110,https://sierra.ai,sierra.ai,"Sierra Technologies, Inc.","['Artificial Intelligence (AI)', 'Enterprise Software', 'SaaS', 'B2B']","Elevate your customer experience with conversational AI tailored to your business. Designed with the highest commitment to security, compliance, and trust. ",2023,,General Retailers,126,51-200,$10M-$50M,110000000,company/sierra,sierraplatform,organization/sierra-1124,http://logo.bigpicture.io/logo/sierra.ai,"San Francisco, California, United States of America",Conversational AI agents; Empathetic support; Real-time customer assistance; Continuous learning and improvement; Customizable and brand-aligned AI agents; Action-oriented solutions (CRM and order management integration),Customer engagement and support for complex issues such as exchanges and subscription management; Enhancing customer experience for brands like Sonos and SiriusXM; Engaging members at scale for companies like WeightWatchers; Personalizing AI interactions based on company identity and policies; 24/7 customer assistance with a focus on empathy and problem-solving.
Atlan,105,https://atlan.com,atlan.com,Atlan Pte. Ltd.,"['Big Data', 'Data Governance', 'Information Technology', 'Software', 'B2B']","Built by a data team for data teams, Atlan is the active metadata platform for the modern data stack. It stitches together metadata from various sources (Snowflake, dbt, Databricks, Looker, Tableau, Postgres, etc.) to create a unified data discovery, cataloging, lineage, and governance experience across all your data assets, from columns and queries to metrics and dashboards. Atlan facilitates a two-way movement of metadata, bringing context back into the tools and workflows that your data team uses every day — for example, in your BI tool when you wonder what a metric on the dashboard means. A pioneer in the space, Atlan was named a Leader in Forrester Wave™️: Enterprise Data Catalogs for DataOps in 2022 and was recognized by Gartner seven times in 2021, including as a Cool Vendor in DataOps and in the inaugural Market Guide for Active Metadata Management. Today, we power pioneering data teams like WeWork, Plaid, Postman, Unilever, and Ralph Lauren. We recently raised a Series B, backed by top investors (including Insight Partners, Sequoia, and Salesforce Ventures) and founders & CEOs from the modern data stack (including Snowflake, Looker, and Stitch). For more information, visit http://www.atlan.com/ or follow us on Twitter at AtlanHQ.",2019,Software,Software & Computer Services,351,201-500,,201500000,company/atlan-hq,AtlanHQ,organization/atlan-239d,http://logo.bigpicture.io/logo/atlan.com,Singapore,Active Metadata; Intelligent Automation; Personalization & Curation; Embedded Collaboration,Data discovery and cataloging; Data governance enforcement; Automating routine data tasks; Personalized data experiences; Collaboration in data teams
Together,102.5,https://www.together.ai,together.ai,Together Computer Inc,"['Artificial Intelligence (AI)', 'Generative AI', 'Internet', 'IT Infrastructure', 'Open Source', 'B2G']","Together AI is a research-driven artificial intelligence company. We contribute leading open-source research, models, and datasets to advance the frontier of AI. Our decentralized cloud services empower developers and researchers at organizations of all sizes to train, fine-tune, and deploy generative AI models. We believe open and transparent AI systems will drive innovation and create the best outcomes for society.",2022,Software,Software & Computer Services,126,51-200,,228500000,company/togethercomputer,togethercompute,organization/together-1a7e,http://logo.bigpicture.io/logo/together.ai,"San Francisco, California, United States of America",Run 100+ open-source models; Fine-tune generative AI models; Train custom models; High-performance GPU clusters; Cutting-edge AI research; Flexible deployment options; Fast inference performance; Optimized training stack; Scalable serverless instances; Support for multiple model architectures,Building text-to-video models; Creating cybersecurity models; Developing domain adaptive language models; Fine-tuning customer support models; Training models for various AI tasks like image generation and coding tasks
Recogni,102,https://www.recogni.com,recogni.com,Recogni Inc.,"['Artificial Intelligence (AI)', 'Autonomous Vehicles', 'Semiconductor', 'Software', 'B2B', 'B2G']","We are a system solution company that specializes in the design of high-performance, low-power AI inference solutions",2017,Computer Hardware,Technology Hardware & Equipment,126,51-200,$10M-$50M,176050000,company/recogni,recogni_ai,organization/recogni,http://logo.bigpicture.io/logo/recogni.com,"San Jose, California, United States of America","Multimodal generative AI inference compute systems; Pareto AI Math; Reduction of computational complexity by turning multiplications into additions; High precision math (e.g., 16-bit) with low cost; Logarithmic number system for AI computation; Efficiency in AI model deployments; High dynamic range with minimal loss of accuracy",Accelerating generative AI ambitions; Enabling fast model deployment for large AI models; Supporting energy-efficient computation; Minimizing error in AI computations; Creating a new Pareto-front for accuracy vs efficiency in AI models; Transforming logarithmic calculations into linear math for improved performance
Odyssey Therapeutics,101,https://odysseytx.com,odysseytx.com,"Odyssey Therapeutics, Inc.","['Biotechnology', 'Health Care', 'Oncology', 'Therapeutics', 'B2C']","At Odyssey, we are creating next generation precision medicines for patients with cancer and inflammatory diseases with class-leading speed, efficiency and rigor through our highly integrated drug hunting engine. In response to recent recruitment fraud, visit our Careers page to verify all job opportunities and read our guidance on this topic: https://odysseytx.com/careers/",2021,,Pharmaceuticals & Biotechnology,126,51-200,$10M-$50M,487000000,company/odyssey-tx,Odyssey_Tx,organization/odyssey-therapeutics-29e0,http://logo.bigpicture.io/logo/odysseytx.com,"Cambridge, Massachusetts, United States of America",Integration of next-generation artificial intelligence (AI) and machine learning (ML) in drug discovery; Fusing computational chemistry and AI to identify and optimize drug candidates; Advanced data sharing and model development for drug discovery; AI-driven optimization of therapeutics for immunology and oncology,Collaboration with Janssen Pharmaceutica to leverage AI for discovering small molecule therapeutics; AI-powered drug hunting engine designed to accelerate discovery of difficult-to-drug targets; Development of therapeutic candidates targeting previously considered 'undruggable' conditions; Use of computational tools combined with experimental methods to rapidly develop medicines for serious diseases
FloQast,100,https://floqast.com,floqast.com,"FloQast, Inc.","['Accounting', 'B2B', 'Enterprise Software', 'SaaS']","FloQast, a Finance and Accounting Operations Platform created by accountants for accountants, enables organizations to operationalize accounting excellence. Trusted by more than 2,600 accounting teams – including Twilio, Los Angeles Lakers, Zoom, and Snowflake – FloQast enhances the way accounting teams work, enabling customers to streamline and manage the Financial Close, Finance and Accounting Operations, and Compliance Programs. With FloQast, teams can utilize the latest advancements in AI technology to manage every aspect of the month-end Close, reduce their compliance burden, stay audit-ready, and improve accuracy, visibility, and collaboration throughout the financial function. FloQast is consistently rated #1 across all user review sites. Learn more at FloQast.com.",2013,Software,Software & Computer Services,751,501-1K,,302850000,company/floqast,FloQast,organization/floqast,http://logo.bigpicture.io/logo/floqast.com,"Los Angeles, California, United States of America",AI-driven interpretation of results; Automation of reconciliation tasks; Identification of inefficiencies; Enhancing strategic leadership capabilities,Reduction in time-to-close accounting processes by 30%; Reduction in reconciliation time by 38%; Reduction in audit process time by 23%; Empowering accountants to focus on review rather than preparation; Improving team collaboration across internal and external teams
Pryon,100,https://www.pryon.com,pryon.com,Pryon Inc.,"['Artificial Intelligence (AI)', 'Computer Vision', 'Generative AI', 'Knowledge Management', 'Machine Learning', 'Natural Language Processing', 'SaaS', 'Search Engine', 'B2B', 'B2G']","Pryon provides a trusted, safe, and proven path to implementing generative AI in enterprises. Pryon's best-in-class ingestion and retrieval engines can be paired with generative LLMs to implement retrieval-augmented generation and securely provide accurate, instant, and verifiable answers at enterprise scale. Using industry-leading retrieval technology, Pryon RAG Suite securely extracts answers from all forms of content, including audio, images, text, and video, stored in a myriad of sources. Pryon’s products are intuitive to use, accessible via API from any system, and can be deployed in a matter of weeks in the cloud or on-premises. Created by the AI pioneers instrumental in developing Alexa, Siri, and Watson, Pryon is trusted by leading enterprises and government agencies. By reducing the distance between people and answers, Pryon builds high-performing, resilient, and responsive organizations. For more information, or to request a demo, visit https://pryon.com/.",2017,Software,Software & Computer Services,126,51-200,,159127994,company/pryon,pryon,organization/pryon,http://logo.bigpicture.io/logo/pryon.com,"Raleigh, North Carolina, United States of America",Ingestion Engine for structured data conversion; Retrieval Engine for natural language understanding and content extraction; Generative Engine leveraging LLMs for conversational responses; Retrieval-augmented generation capabilities allowing for accurate and verifiable answers,Support chatbot for Fortune 50 technology company deflecting tens of thousands of questions and increasing customer lifetime value; Energy corporation using RAG Suite to deliver critical information to engineers and reduce outage times; U.S. federal agency utilizing Pryon to unlock instant answers from extensive content library in 80 languages; World-leading NGO delivering decades of research and ideas to leaders in milliseconds; Multinational technology company improving citizen engagement and self-service for city governments
Karius,100,https://kariusdx.com,kariusdx.com,"Karius, Inc.","['B2C', 'Biotechnology', 'Genetics', 'Health Care', 'Information Technology', 'Life Science', 'Precision Medicine', 'B2B']",Karius sees a world where infectious disease is no longer a major threat to human health. The Karius Test uses genomics and AI to map a patient’s microbial landscape from a single blood sample to enable clinicians to make rapid treatment decisions.,2014,,Pharmaceuticals & Biotechnology,126,51-200,,354000000,company/kariusinc,KariusInc,organization/karius,http://logo.bigpicture.io/logo/kariusdx.com,"Redwood City, California, United States of America",Advanced machine learning algorithms for genomic data analysis in real time; Constantly refined proprietary reference genome databases,"Non-invasive detection of over 1,000 pathogens from a single blood sample; Aid clinicians in avoiding invasive diagnostic tests for infectious diseases; Detect antimicrobial resistance in pathogens"
Iambic Therapeutics,100,https://www.iambic.ai,iambic.ai,"Iambic Therapeutics, Inc","['Artificial Intelligence (AI)', 'Machine Learning', 'Software', 'Therapeutics']","Iambic Therapeutics is disrupting the therapeutics landscape with its unique AI-driven drug-discovery platform. Iambic has assembled a world-class team that unites pioneering AI experts and experienced drug hunters with strong track records of success in delivering clinically validated therapeutics. The Iambic platform has been demonstrated to deliver high-quality, differentiated therapeutics to clinic with unprecedented speed and across multiple target classes and mechanisms of action. The Iambic team is advancing an internal pipeline of clinical assets to address urgent unmet patient needs. Learn more about the Iambic team, platform, and pipeline at iambic.ai.",2019,,Pharmaceuticals & Biotechnology,126,51-200,$10M-$50M,203000000,company/iambic-ai,iambic_ai,organization/entos-844f,http://logo.bigpicture.io/logo/iambic.ai,"San Diego, California, United States of America",AI-driven platform for drug discovery; Physics-based AI algorithms; High-throughput experimental platform; Automation of molecular design and testing; Data-efficient AI technologies; Deep exploration of chemical space,Optimizing target product profiles for drug candidates; Discovering novel mechanisms of action; Developing first-in-class and best-in-class clinical programs; Accelerating the pipeline for differentiated therapeutics; Transforming undruggable targets into viable treatment options
Writer,100,https://writer.com,writer.com,"Writer, Inc.","['Content', 'Generative AI', 'Natural Language Processing', 'Productivity Tools', 'Software', 'Virtual Assistant', 'B2B']","Writer is the full-stack generative AI platform for enterprises. We make it easy for organizations to deploy AI apps and workflows that deliver impactful ROI. Stitching together your own AI stack is difficult to scale and often fails to produce results that meet enterprise quality standards. Our integrated platform consists of Palmyra, our family of transparent LLMs that achieve top scores on key benchmarks like Stanford HELM; Writer Knowledge Graph, our highly accurate graph-based RAG; customizable AI guardrails to enforce your brand, compliance, and legal rules; a suite of easy-to-use development tools; and a library of prebuilt apps, extensions, and desktop experiences to get started quickly. Writer makes it fast and easy to build highly-customized AI apps that compress entire business processes, support complex use cases, and infuse work with company intelligence. With Writer, enterprises accelerate growth, increase productivity, and ensure AI compliance. Our enterprise-grade platform can be deployed flexibly, keeps your data private, and adheres to global privacy laws and security standards, such as GDPR, HIPAA, SOC 2 Type II, and PCI. Our professional services team provides ongoing AI program management that drives adoption and impact. Leading enterprises choose Writer, such as Vanguard, Intuit, L'Oreal, Accenture, Dropbox, and Kenvue. Visit us at writer.com.",2020,Software,Software & Computer Services,777,501-1K,,126000000,company/getwriter,Get_Writer,organization/writer,http://logo.bigpicture.io/logo/writer.com,"San Francisco, California, United States of America",Palmyra LLMs; Knowledge Graph; AI guardrails; AI Studio,"Speed up business processes and get tailored outputs based on use cases.; Generate summaries, insights, and analysis based on internal data.; Ensure accuracy and adherence to legal, regulatory, and brand guidelines."
Hebbia,100,https://www.hebbia.ai,hebbia.ai,Hebbia Inc.,"['Business Intelligence', 'Machine Learning', 'Productivity Tools']","AI that works the way you work. Hebbia’s Matrix product is a co-pilot for knowledge work used by finance, law, government, and pharmaceutical companies. Matrix accurately tackles the most complex tasks by breaking them down into understandable LLM actions. Users can collaborate with Matrix to extract, structure, and analyze millions of documents at scale, allowing for full workflow automations with LLMs. We've raised $30M in funding from Peter Thiel, Index Ventures (via Mike Volpi), Jerry Yang (founder of Yahoo), Ram Shriram (one of the first investors in Google), and others, and have built the fastest-moving team in the world. We want to work with people who share our core values: - Your work is a craft you want to master. - You thrive in ambiguity and approach new challenges with optimism. - You appreciate diverse perspectives and uncommon ideas. Come build the interface to AGI.",2020,Software,Software & Computer Services,126,51-200,,131100000,company/hebbia,HebbiaAI,organization/hebbia,http://logo.bigpicture.io/logo/hebbia.ai,"New York, United States of America",Reasoning over any amount and modality of data; Execution of complex multi-step workflows; Total transparency in AI actions; Enterprise security for regulated institutions,IC Memo Deal Library to benchmark future deals vs past ones; Research synthesis from consulting reports and market studies; Drafting IMs from key documents; Tracking comps and deriving learnings from comparable companies; Due diligence across data room materials; Streamlining quarterly reporting; Automating earnings updates and drafting market reports; Sentiment analysis across documents to provide actionable insights; Creating company profiles leveraging public and private data sources; Regulatory reviews to automate assessment of evolving regulations
